aX,aY,aZ,gX,gY,gZ
0.509,0.238,0.091,89.233,22.461,179.199
0.381,0.421,-0.016,35.889,34.241,192.200
0.357,0.562,-0.139,-5.554,34.180,201.355
0.226,0.658,-0.187,-31.067,19.470,199.646
0.097,0.750,-0.191,-44.434,1.831,191.406
-0.023,0.835,-0.173,-51.086,-8.972,183.716
0.038,0.849,-0.195,-61.035,-10.254,177.002
0.021,0.787,-0.240,-86.792,-9.888,163.818
-0.038,0.654,-0.366,-124.390,-12.085,139.893
-0.144,0.532,-0.488,-156.860,-17.273,121.582
-0.248,0.399,-0.551,-167.786,-29.053,117.065
-0.309,0.243,-0.602,-163.574,-42.542,120.667
-0.398,0.125,-0.656,-159.119,-54.016,129.395
-0.408,0.025,-0.792,-158.997,-64.392,143.616
-0.475,-0.032,-0.805,-169.128,-73.059,162.231
-0.515,-0.078,-0.804,-197.632,-77.209,182.556
-0.519,-0.126,-0.778,-237.976,-84.961,200.195
-0.502,-0.160,-0.739,-277.466,-94.360,215.820
-0.511,-0.152,-0.713,-299.988,-95.154,227.844
-0.500,-0.150,-0.635,-284.363,-87.219,232.056
-0.519,-0.219,-0.487,-220.642,-77.576,229.187
-0.499,-0.332,-0.361,-122.192,-66.772,229.187
-0.512,-0.411,-0.239,-19.165,-52.917,241.089
-0.559,-0.340,-0.180,63.721,-36.987,263.855
-0.566,-0.091,-0.198,117.371,-25.208,286.560
-0.597,0.196,-0.142,152.893,-21.179,301.025
-0.608,0.484,-0.060,178.223,-22.217,301.331
-0.568,0.735,-0.003,197.205,-23.132,290.222
-0.504,0.903,0.050,211.914,-21.301,274.353
-0.533,1.017,0.075,215.759,-15.930,256.897
-0.519,1.132,0.008,204.773,-8.606,240.112
-0.543,1.220,-0.017,184.021,-9.216,226.807
-0.587,1.286,0.033,158.020,-17.151,215.759
-0.691,1.322,0.117,132.629,-28.015,202.637
-0.686,1.367,0.224,113.586,-39.124,188.843
-0.801,1.470,0.363,104.248,-44.373,185.486
-0.929,1.648,0.440,102.905,-38.269,189.026
-1.073,1.903,0.469,108.582,-29.175,195.251
-1.250,2.243,0.473,115.356,-22.583,202.759
-1.433,2.636,0.456,119.385,-17.883,208.191
-1.593,3.034,0.437,121.155,-17.578,204.407
-1.673,3.380,0.393,124.451,-17.639,184.387
-1.723,3.600,0.357,132.751,-15.991,142.578
-1.759,3.679,0.333,140.198,-12.512,84.473
-1.821,3.688,0.291,128.723,-5.615,17.822
-1.889,3.650,0.206,105.957,6.287,-51.819
-1.914,3.492,0.096,82.581,13.428,-119.019
-1.894,3.231,0.042,59.021,8.667,-178.467
-1.828,2.935,0.049,32.837,-4.822,-229.492
-1.746,2.676,0.079,8.789,-18.188,-268.555
-1.584,2.457,0.129,-6.287,-29.358,-299.683
-1.528,2.305,0.231,-13.245,-39.978,-326.172
-1.416,2.210,0.355,-19.104,-45.288,-346.375
-1.271,2.071,0.422,-24.963,-37.659,-369.080
-1.237,1.923,0.505,-31.799,-26.733,-403.259
-1.251,1.772,0.576,-42.725,-14.221,-440.552
-1.194,1.553,0.600,-54.871,-0.061,-475.952
-1.156,1.326,0.625,-60.974,17.090,-508.911
-1.112,1.110,0.619,-63.904,35.156,-539.001
-1.103,0.873,0.607,-66.650,52.551,-566.956
-1.080,0.611,0.556,-69.580,69.580,-591.919
-1.000,0.354,0.443,-69.153,88.623,-610.962
-0.932,0.092,0.291,-64.331,104.492,-622.559
-0.832,-0.188,0.138,-59.509,114.136,-626.404
-0.707,-0.427,-0.003,-66.162,115.356,-621.460
-0.590,-0.616,-0.111,-86.365,105.225,-603.516
-0.466,-0.781,-0.193,-112.976,83.801,-571.716
-0.309,-0.926,-0.229,-139.954,58.105,-524.048
-0.105,-1.027,-0.215,-165.527,31.555,-467.529
0.048,-1.034,-0.161,-188.110,4.700,-406.189
0.134,-1.012,-0.071,-198.853,-16.907,-346.558
0.268,-1.011,0.013,-192.505,-29.968,-300.476
0.414,-0.998,0.095,-173.645,-34.241,-265.320
0.485,-0.949,0.156,-140.686,-32.959,-232.605
0.513,-0.855,0.191,-90.088,-23.560,-201.416
0.537,-0.746,0.183,-24.353,-8.240,-170.105
0.563,-0.618,0.154,42.358,10.437,-141.907
0.623,-0.492,0.068,94.116,28.748,-119.812
0.609,-0.419,-0.026,125.854,44.617,-106.445
