aX,aY,aZ,gX,gY,gZ
0.746,-0.574,0.195,-12.634,24.780,-123.657
0.683,-0.576,0.154,-18.433,29.358,-102.478
0.604,-0.540,0.116,-17.090,37.476,-74.097
0.627,-0.509,0.029,-10.925,42.236,-38.940
0.702,-0.586,-0.010,-1.953,39.551,-16.602
0.659,-0.625,-0.049,0.732,36.255,-17.334
0.594,-0.619,-0.094,-1.526,39.185,-23.926
0.609,-0.679,-0.152,-4.089,36.011,-18.433
0.558,-0.808,-0.175,-13.184,25.879,-10.681
0.666,-0.874,-0.158,-34.241,20.569,-2.686
0.387,-0.984,-0.164,-70.313,19.287,13.489
0.454,-1.085,-0.234,-106.995,27.466,29.541
0.478,-1.154,-0.246,-118.042,25.818,51.880
0.443,-1.203,-0.212,-114.319,14.099,77.332
0.349,-1.222,-0.173,-106.384,4.883,109.070
0.338,-1.211,-0.184,-96.008,0.244,135.986
0.274,-1.228,-0.213,-81.299,-0.366,158.569
0.198,-1.263,-0.264,-69.946,-2.075,179.138
0.125,-1.267,-0.355,-67.261,-4.822,201.782
0.046,-1.329,-0.445,-68.726,-10.620,229.980
0.003,-1.329,-0.542,-74.768,-23.865,261.108
-0.112,-1.275,-0.548,-81.543,-42.786,294.678
-0.226,-1.181,-0.495,-88.928,-59.631,330.933
-0.300,-1.016,-0.392,-97.229,-76.660,367.676
-0.465,-0.758,-0.196,-98.145,-94.543,408.081
-0.512,-0.428,0.024,-84.290,-108.765,447.815
-0.617,-0.002,0.262,-61.279,-115.906,479.370
-0.636,0.447,0.451,-38.757,-116.699,497.925
-0.546,0.817,0.599,-22.644,-112.915,499.023
-0.607,1.138,0.683,-22.461,-99.182,480.957
-0.493,1.337,0.633,-36.133,-73.853,448.242
-0.448,1.459,0.572,-55.359,-55.725,405.273
-0.418,1.568,0.518,-73.853,-46.753,363.892
-0.419,1.709,0.501,-85.266,-42.419,336.609
-0.397,1.884,0.548,-91.309,-40.771,322.327
-0.387,2.136,0.623,-102.783,-39.795,316.895
-0.368,2.413,0.678,-116.211,-32.410,313.904
-0.374,2.686,0.715,-119.873,-19.714,305.786
-0.347,2.945,0.667,-117.126,-2.441,287.476
-0.356,3.150,0.582,-108.459,13.855,260.986
-0.351,3.313,0.490,-95.215,24.841,229.248
-0.330,3.421,0.407,-84.412,31.433,193.054
-0.302,3.462,0.348,-73.425,35.889,152.954
-0.243,3.463,0.297,-64.331,37.476,106.934
-0.190,3.321,0.267,-61.707,38.147,55.908
-0.114,3.105,0.193,-68.848,40.100,11.414
-0.169,2.864,0.107,-79.895,42.542,-19.226
-0.092,2.592,0.003,-86.609,39.734,-46.082
-0.044,2.322,-0.001,-91.370,29.053,-67.261
0.020,2.116,0.014,-103.821,19.043,-79.590
0.075,1.940,0.060,-115.845,12.512,-90.576
0.135,1.770,0.112,-124.573,9.155,-101.807
0.142,1.588,0.141,-131.348,10.193,-111.877
0.194,1.400,0.144,-139.771,13.733,-124.939
0.246,1.240,0.120,-146.179,18.127,-133.118
0.270,1.105,0.085,-146.912,20.508,-136.902
0.293,0.927,0.059,-144.470,20.813,-139.526
0.325,0.756,0.032,-153.137,19.531,-140.564
0.328,0.642,0.023,-172.913,15.381,-135.376
0.288,0.584,0.030,-193.726,13.672,-126.526
0.260,0.552,0.020,-209.106,16.052,-115.295
0.267,0.558,-0.013,-219.543,20.752,-104.675
0.177,0.560,-0.061,-222.717,26.062,-96.436
0.192,0.512,-0.174,-219.238,32.959,-94.421
0.247,0.432,-0.262,-207.642,32.837,-94.971
0.251,0.387,-0.285,-191.589,26.428,-90.576
0.258,0.413,-0.299,-175.659,21.057,-79.285
0.354,0.480,-0.345,-161.926,20.752,-66.162
0.154,0.559,-0.349,-148.132,22.766,-57.312
0.161,0.564,-0.456,-138.000,30.029,-55.969
0.153,0.530,-0.550,-139.038,33.630,-55.542
0.123,0.556,-0.622,-155.212,28.015,-50.476
0.081,0.626,-0.674,-175.049,17.578,-43.213
0.064,0.612,-0.664,-185.364,3.540,-41.687
0.055,0.523,-0.596,-189.453,-11.169,-45.410
0.072,0.445,-0.535,-194.702,-20.874,-47.363
0.073,0.390,-0.505,-194.031,-23.865,-45.410
0.062,0.309,-0.510,-181.580,-22.400,-42.969
0.067,0.186,-0.522,-163.269,-18.433,-41.138
0.048,0.102,-0.578,-150.879,-14.038,-36.011
0.033,0.007,-0.655,-143.372,-11.414,-28.320
0.030,-0.103,-0.718,-137.024,-13.794,-21.240
0.009,-0.189,-0.802,-135.742,-17.212,-10.559
-0.004,-0.293,-0.871,-135.315,-23.926,2.136
-0.006,-0.415,-0.891,-135.986,-37.109,17.517
0.018,-0.502,-0.882,-139.465,-52.429,38.574
0.043,-0.585,-0.825,-138.733,-67.444,61.890
0.071,-0.667,-0.763,-130.676,-77.271,83.252
0.055,-0.774,-0.725,-116.699,-79.163,103.394
0.053,-0.897,-0.747,-96.924,-76.904,123.779
-0.001,-1.067,-0.795,-72.205,-74.951,145.813
